【  央视频道  】,#genre#
CETV1_联通,http://221.205.94.83:8084/rtp/226.0.2.181:9360
CETV1_联通,http://114.254.83.72:2222/rtp/239.3.1.57:8152
CETV1_联通,http://125.34.18.213:7777/rtp/239.3.1.57:8152
CETV1_联通,http://211.90.88.50:8084/rtp/226.0.2.181:9360
中国教育CETV1_电信,http://114.100.195.107:4022/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://117.66.231.30:2000/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://202.102.201.244:40022/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://223.247.88.164:8888/rtp/238.1.78.158:7136
中国教育CETV1_电信,http://220.178.185.92:4022/rtp/238.1.78.158:7136
﻿CCTV1_联通,http://1.24.190.98:10080/hls/1/index.m3u8
CCTV2_其他,http://1.193.57.68:8800/rtp/239.16.20.2:10020
CCTV2_其他,http://1.193.57.68:8800/rtp/239.16.10.127:2000
CCTV2_广电,http://1.193.57.68:8800/rtp/239.16.10.127:2000
CCTV2_广电,http://1.193.57.68:8800/rtp/239.16.20.2:10020
CCTV2_电信,http://113.78.253.125:8888/udp/239.77.1.158:5146
CCTV2_电信,http://223.247.88.164:8888/rtp/238.1.78.235:7752
CCTV2_电信,http://61.150.11.175:4444/rtp/239.112.205.78:5140
CCTV2_电信,http://114.100.195.107:4022/rtp/238.1.78.235:7752
CCTV2_电信,http://117.66.231.30:2000/rtp/238.1.78.235:7752
CCTV2_电信,http://125.80.158.131:7788/rtp/235.254.198.52:1484
CCTV2_电信,http://123.168.95.193:4000/udp/239.21.1.151:5002
CCTV2_电信,http://171.221.58.141:4000/udp/239.93.1.23:6000
CCTV2_电信,http://171.221.58.164:4000/udp/239.93.1.23:6000
CCTV2_电信,http://118.113.66.160:8899/udp/239.93.1.23:6000
CCTV2_电信,http://106.40.103.226:8888/udp/239.29.0.116:5000
CCTV2_电信,http://117.28.166.193:8605/rtp/239.61.2.174:9032
CCTV2_电信,http://58.48.199.143:8888/rtp/239.69.1.102:10250
