【  标清频道  】,#genre#
华南_CCTV1_电信,http://171.221.58.141:4000/udp/239.93.0.148:5140
西南_CCTV10_电信,http://118.114.99.140:4022/udp/239.93.1.63:5140
西南_CCTV10_电信,http://125.71.58.153:4022/udp/239.93.1.63:5140
西南_CCTV10_电信,http://182.138.218.105:55555/udp/239.93.1.63:5140
西南_CCTV12_电信,http://125.71.58.153:4022/udp/239.93.1.41:5140
西南_CCTV12_电信,http://182.138.218.105:55555/udp/239.93.1.41:5140
西南_CCTV13_电信,http://125.71.58.153:4022/udp/239.93.0.187:5140
西南_CCTV13_电信,http://182.136.215.165:4022/udp/239.93.0.187:5140
西南_CCTV13_电信,http://118.114.99.140:4022/udp/239.93.0.187:5140
西南_CCTV13_电信,http://171.213.47.174:5555/udp/239.93.0.187:5140
西南_CCTV1_电信,http://61.157.50.231:4000/udp/239.93.0.148:5140
西南_CCTV1_电信,http://118.114.99.140:4022/udp/239.93.0.148:5140
西南_CCTV1_电信,http://125.71.58.153:4022/udp/239.93.0.148:5140
西南_CCTV2_电信,http://182.138.218.105:55555/udp/239.93.0.149:5140
西南_CCTV2_电信,http://125.71.58.153:4022/udp/239.93.0.149:5140
西南_CCTV2_电信,http://118.114.99.140:4022/udp/239.93.0.149:5140
西南_CCTV3_电信,http://118.114.99.140:4022/udp/239.93.0.150:5140
西南_CCTV3_电信,http://125.71.58.153:4022/udp/239.93.0.150:5140
西南_CCTV4_电信,http://118.114.99.140:4022/udp/239.93.0.212:5140
西南_CCTV6_电信,http://118.114.99.140:4022/udp/239.93.0.64:5140
西南_CCTV6_电信,http://182.138.218.105:55555/udp/239.93.0.64:5140
西南_CCTV7_电信,http://118.114.99.140:4022/udp/239.93.0.79:5140
西南_CCTV8_电信,http://125.71.58.153:4022/udp/239.93.0.154:5140
西南_CCTV8_电信,http://118.114.99.140:4022/udp/239.93.0.154:5140
西南_CCTV少儿_电信,http://118.114.99.140:4022/udp/239.93.1.40:5140
西南_CCTV少儿_电信,http://125.71.58.153:4022/udp/239.93.1.40:5140
西南_CCTV少儿_电信,http://182.138.218.105:55555/udp/239.93.1.40:5140
西南_CCTV音乐_电信,http://118.114.99.140:4022/udp/239.93.0.171:5140
西南_东南卫视_电信,http://118.114.99.140:4022/udp/239.93.1.201:5140
西南_东南卫视_电信,http://171.213.47.174:5555/udp/239.93.1.201:5140
西南_东南卫视_电信,http://125.71.58.153:4022/udp/239.93.1.201:5140
西南_东南卫视_电信,http://182.138.218.105:55555/udp/239.93.1.201:5140
西南_东方卫视_电信,http://125.71.58.153:4022/udp/239.93.1.44:5140
西南_东方卫视_电信,http://118.114.99.140:4022/udp/239.93.1.44:5140
西南_云南卫视_电信,http://118.114.99.140:4022/udp/239.93.1.168:5140
西南_内蒙古卫视_电信,http://125.71.58.153:4022/udp/239.93.1.208:5140
西南_内蒙古卫视_电信,http://182.138.218.105:55555/udp/239.93.1.208:5140
西南_内蒙古卫视_电信,http://118.114.99.140:4022/udp/239.93.1.208:5140
西南_北京卫视_电信,http://182.138.218.105:55555/udp/239.93.1.66:5140
西南_北京卫视_电信,http://118.114.99.140:4022/udp/239.93.1.66:5140
西南_北京卫视_电信,http://125.71.58.153:4022/udp/239.93.1.66:5140
西南_吉林卫视_电信,http://118.114.99.140:4022/udp/239.93.1.204:5140
西南_四川卫视_电信,http://118.114.99.140:4022/udp/239.93.0.128:5140
西南_天津卫视_电信,http://182.138.218.105:55555/udp/239.93.1.134:5140
西南_天津卫视_电信,http://118.114.99.140:4022/udp/239.93.1.134:5140
西南_宁夏卫视_电信,http://182.136.215.165:4022/udp/239.93.1.212:5140
西南_宁夏卫视_电信,http://118.114.99.140:4022/udp/239.93.1.212:5140
西南_宁夏卫视_电信,http://125.71.58.153:4022/udp/239.93.1.212:5140
西南_安徽卫视_电信,http://118.114.99.140:4022/udp/239.93.1.166:5140
西南_安徽卫视_电信,http://171.213.47.174:5555/udp/239.93.1.166:5140
西南_安徽卫视_电信,http://125.71.58.153:4022/udp/239.93.1.166:5140
西南_山东卫视_电信,http://125.71.58.153:4022/udp/239.93.0.229:5140
西南_山东卫视_电信,http://118.114.99.140:4022/udp/239.93.0.229:5140
西南_广东卫视_电信,http://118.114.99.140:4022/udp/239.93.0.201:5140
西南_广东卫视_电信,http://125.71.58.153:4022/udp/239.93.0.201:5140
西南_广东卫视_电信,http://182.138.218.105:55555/udp/239.93.0.201:5140
西南_广西卫视_电信,http://118.114.99.140:4022/udp/239.93.1.203:5140
西南_广西卫视_电信,http://182.138.218.105:55555/udp/239.93.1.203:5140
西南_康巴卫视_电信,http://118.114.99.140:4022/udp/239.93.1.149:5140
西南_康巴卫视_电信,http://125.71.58.153:4022/udp/239.93.1.149:5140
西南_康巴卫视_电信,http://171.213.47.174:5555/udp/239.93.1.149:5140
西南_新疆卫视_电信,http://182.138.218.105:55555/udp/239.93.1.214:5140
西南_旅游卫视_电信,http://118.114.99.140:4022/udp/239.93.1.216:5140
西南_旅游卫视_电信,http://125.71.58.153:4022/udp/239.93.1.216:5140
西南_江苏卫视_电信,http://118.114.99.140:4022/udp/239.93.1.45:5140
西南_江西卫视_电信,http://118.114.99.140:4022/udp/239.93.1.19:5140
西南_江西卫视_电信,http://182.138.218.105:55555/udp/239.93.1.19:5140
西南_河北卫视_电信,http://125.71.58.153:4022/udp/239.93.1.202:5140
西南_河北卫视_电信,http://118.114.99.140:4022/udp/239.93.1.202:5140
西南_河南卫视_电信,http://118.114.99.140:4022/udp/239.93.1.169:5140
西南_浙江卫视_电信,http://118.114.99.140:4022/udp/239.93.1.6:5140
西南_浙江卫视_电信,http://171.213.47.174:5555/udp/239.93.1.6:5140
西南_深圳卫视_电信,http://171.213.47.174:5555/udp/239.93.1.21:5140
西南_深圳卫视_电信,http://118.114.99.140:4022/udp/239.93.1.21:5140
西南_深圳卫视_电信,http://182.138.218.105:55555/udp/239.93.1.21:5140
西南_深圳卫视_电信,http://125.71.58.153:4022/udp/239.93.1.21:5140
西南_湖北卫视_电信,http://118.114.99.140:4022/udp/239.93.0.115:5140
西南_湖北卫视_电信,http://182.138.218.105:55555/udp/239.93.0.115:5140
西南_湖北卫视_电信,http://171.213.47.174:5555/udp/239.93.0.115:5140
西南_湖南卫视_电信,http://118.114.99.140:4022/udp/239.93.1.46:5140
西南_湖南卫视_电信,http://182.136.215.165:4022/udp/239.93.1.46:5140
西南_甘肃卫视_电信,http://171.213.47.174:5555/udp/239.93.1.215:5140
西南_西藏卫视_电信,http://182.138.218.105:55555/udp/239.93.1.213:5140
西南_西藏卫视_电信,http://125.71.58.153:4022/udp/239.93.1.213:5140
西南_西藏卫视_电信,http://118.114.99.140:4022/udp/239.93.1.213:5140
西南_西藏卫视_电信,http://171.213.47.174:5555/udp/239.93.1.213:5140
西南_贵州卫视_电信,http://182.138.218.105:55555/udp/239.93.1.200:5140
西南_贵州卫视_电信,http://118.114.99.140:4022/udp/239.93.1.200:5140
西南_辽宁卫视_电信,http://118.114.99.140:4022/udp/239.93.1.167:5140
西南_重庆卫视_电信,http://125.71.58.153:4022/udp/239.93.0.119:5140
西南_重庆卫视_电信,http://118.114.99.140:4022/udp/239.93.0.119:5140
西南_重庆卫视_电信,http://171.213.47.174:5555/udp/239.93.0.119:5140
西南_陕西卫视_电信,http://118.114.99.140:4022/udp/239.93.1.205:5140
西南_青海卫视_电信,http://125.71.58.153:4022/udp/239.93.1.209:5140
西南_青海卫视_电信,http://118.114.99.140:4022/udp/239.93.1.209:5140
西南_青海卫视_电信,http://171.213.47.174:5555/udp/239.93.1.209:5140
西南_黑龙江卫视_电信,http://118.114.99.140:4022/udp/239.93.0.231:5140
西南_黑龙江卫视_电信,http://182.138.218.105:55555/udp/239.93.0.231:5140
西南_黑龙江卫视_电信,http://182.136.215.165:4022/udp/239.93.0.231:5140
