【  卫视频道  】,#genre#
东北_宁夏卫视_联通,http://116.116.207.159:5555/udp/239.125.1.157:4130
东北_宁夏卫视_联通,http://116.95.218.18:9999/udp/239.125.1.157:4130
东北_宁夏卫视_联通,http://1.26.27.107:9999/udp/239.125.1.157:4130
东北_宁夏卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.34:1234
东北_安徽卫视_电信,http://123.179.59.173:8888/udp/239.29.0.81:5000
东北_安徽卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.159:5540
东北_安徽卫视_联通,http://116.95.218.18:9999/udp/239.125.2.78:4120
东北_安徽卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.141:1234
东北_安徽卫视_联通,http://116.116.207.159:5555/udp/239.125.2.78:4120
东北_安徽卫视_联通,http://1.26.27.107:9999/udp/239.125.2.78:4120
东北_安徽卫视_联通,http://1.26.27.107:9999/udp/239.125.1.173:4130
东北_安徽卫视_联通,http://116.95.218.18:9999/udp/239.125.1.173:4130
东北_安徽卫视_联通,http://116.116.207.159:5555/udp/239.125.1.173:4130
东北_山东卫视_电信,http://123.179.59.173:8888/udp/239.29.0.106:5000
东北_山东卫视_联通,http://116.95.218.18:9999/udp/239.125.2.75:4120
东北_山东卫视_联通,http://1.26.27.107:9999/udp/239.125.2.75:4120
东北_山东卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.131:1234
东北_山东卫视_联通,http://116.116.207.159:5555/udp/239.125.2.75:4120
东北_山东卫视_联通,http://1.24.190.98:10080/hls/83/index.m3u8
东北_山东卫视_联通,http://116.116.207.159:5555/udp/239.125.1.149:4130
东北_山东卫视_联通,http://116.95.218.18:9999/udp/239.125.1.149:4130
东北_山东卫视_联通,http://1.26.27.107:9999/udp/239.125.1.149:4130
东北_山东教育卫视_电信,http://123.179.59.173:8888/udp/239.29.1.96:5001
东北_山东教育卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.169:1234
东北_山东教育卫视_联通,http://116.116.207.159:5555/udp/239.125.1.178:4130
东北_山东教育卫视_联通,http://1.26.27.107:9999/udp/239.125.1.178:4130
东北_山东教育卫视_联通,http://116.95.218.18:9999/udp/239.125.1.178:4130
东北_山西卫视_电信,http://123.179.59.173:8888/udp/239.29.1.55:5001
东北_山西卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.053:5540
东北_山西卫视_联通,http://116.95.218.18:9999/udp/239.125.1.119:4130
东北_山西卫视_联通,http://116.116.207.159:5555/udp/239.125.1.119:4130
东北_山西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.86:1234
东北_广东卫视_电信,http://123.179.59.173:8888/udp/239.29.0.123:5000
东北_广东卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.012:5540
东北_广东卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.130:1234
东北_广东卫视_联通,http://116.95.218.18:9999/udp/239.125.2.71:4120
东北_广东卫视_联通,http://1.26.27.107:9999/udp/239.125.2.71:4120
东北_广东卫视_联通,http://116.116.207.159:5555/udp/239.125.2.71:4120
东北_广东卫视_联通,http://116.95.218.18:9999/udp/239.125.1.154:4130
东北_广东卫视_联通,http://116.116.207.159:5555/udp/239.125.1.154:4130
东北_广东卫视_联通,http://1.26.27.107:9999/udp/239.125.1.154:4130
东北_广东卫视_联通,http://1.24.190.98:10080/hls/79/index.m3u8
东北_广西卫视_电信,http://123.179.59.173:8888/udp/239.29.1.57:5001
东北_广西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.76:1234
东北_广西卫视_联通,http://1.26.27.107:9999/udp/239.125.1.167:4130
东北_广西卫视_联通,http://116.116.207.159:5555/udp/239.125.1.167:4130
东北_广西卫视_联通,http://116.95.218.18:9999/udp/239.125.1.167:4130
东北_延边卫视_电信,http://123.179.59.173:8888/udp/239.29.0.133:5000
东北_延边卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.161:1234
