【  央视_电信  】,#genre#
CCTV5+_联通,http://183.92.4.163:4000/udp/228.0.0.17:6108
CCTV5_联通,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV5_联通,http://183.92.4.163:4000/udp/228.0.0.5:6108
CCTV6_联通,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV6_联通,http://183.92.4.163:4000/udp/228.0.0.217:6108
CCTV7_联通,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV7_联通,http://183.92.4.163:4000/udp/228.0.0.218:6108
CCTV8_联通,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV8_联通,http://183.92.4.163:4000/udp/228.0.0.219:6108
CCTV9_联通,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV9_联通,http://183.92.4.163:4000/udp/228.0.0.220:6108
CCTV10_联通,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV10_联通,http://183.92.4.163:4000/udp/228.0.0.221:6108
CCTV11_联通,http://183.92.4.163:4000/udp/228.0.0.242:6108
CCTV11_联通,http://183.92.4.163:4000/udp/228.0.0.222:6108
CCTV12_联通,http://183.92.4.163:4000/udp/228.0.0.12:6108
CCTV12_联通,http://183.92.4.163:4000/udp/228.0.0.223:6108
CCTV13_联通,http://183.92.4.163:4000/udp/228.0.0.202:6108
CCTV13_联通,http://183.92.4.163:4000/udp/228.0.0.13:6108
CCTV14_联通,http://183.92.4.163:4000/udp/228.0.0.14:6108
CCTV15_联通,http://183.92.4.163:4000/udp/228.0.0.15:6108
CCTV16_联通,http://183.92.4.163:4000/udp/228.0.0.249:6108
CCTV17_联通,http://183.92.4.163:4000/udp/228.0.0.161:7161
CCTVNEWS_联通,http://183.92.4.163:4000/udp/228.0.0.16:6108
【  央视_移动  】,#genre#
【  卫视_电信  】,#genre#
东南卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.108:10286
东南卫视_电信,http://27.18.190.49:85/rtp/239.69.1.108:10286
东南卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.108:10286
东方卫视_电信,http://27.18.190.49:85/rtp/239.254.96.142:8926
东方卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.173:10674
东方卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.173:10674
东方卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.142:8926
东方卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.142:8926
东方卫视_电信,http://27.18.190.49:85/rtp/239.69.1.173:10674
北京卫视_电信,http://27.18.190.49:85/rtp/239.254.96.141:8920
北京卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.141:8920
北京卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.141:8920
吉林卫视_电信,http://27.18.190.49:85/rtp/239.69.1.212:10914
吉林卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.212:10914
吉林卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.212:10914
四川卫视_电信,http://27.18.190.49:85/rtp/239.69.1.169:10650
四川卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.169:10650
四川卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.169:10650
天津卫视_电信,http://27.18.190.49:85/rtp/239.69.1.68:10048
天津卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.68:10048
天津卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.68:10048
安徽卫视_电信,http://27.18.190.49:85/rtp/239.69.1.70:10060
安徽卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.70:10060
安徽卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.70:10060
山东卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.69:10054
山东卫视_电信,http://27.18.190.49:85/rtp/239.69.1.69:10054
山东卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.69:10054
广东卫视_电信,http://27.18.190.49:85/rtp/239.254.96.140:8914
广东卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.140:8914
广东卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.140:8914
广西卫视_电信,http://27.18.190.49:85/rtp/239.69.1.191:10788
广西卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.191:10788
广西卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.191:10788
江苏卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.174:10680
江苏卫视_电信,http://27.18.190.49:85/rtp/239.254.96.144:8938
江苏卫视_电信,http://27.18.190.49:85/rtp/239.69.1.174:10680
江苏卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.144:8938
江苏卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.174:10680
江苏卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.144:8938
江西卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.126:10394
江西卫视_电信,http://27.18.190.49:85/rtp/239.69.1.126:10394
江西卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.126:10394
河北卫视_电信,http://27.18.190.49:85/rtp/239.69.1.157:10578
河北卫视_电信,http://27.18.190.49:85/rtp/239.254.96.113:9616
河北卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.157:10578
河北卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.113:9616
河北卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.113:9616
河北卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.157:10578
河南卫视_电信,http://27.18.190.49:85/rtp/239.69.1.168:10644
河南卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.168:10644
河南卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.168:10644
浙江卫视_电信,http://27.18.190.49:85/rtp/239.254.96.143:8932
浙江卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.143:8932
浙江卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.143:8932
海南卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.151:10542
