【  卡通频道  】,#genre#
东北_内蒙古少儿_联通,http://116.95.218.18:9999/udp/239.125.1.69:4120
东北_内蒙古少儿_联通,http://1.26.27.107:9999/udp/239.125.1.69:4120
东北_内蒙古少儿_联通,http://116.116.207.159:5555/udp/239.125.1.69:4120
东北_内蒙少儿_电信,http://123.179.59.173:8888/udp/239.29.0.207:5000
东北_动漫秀场_电信,http://36.49.52.39:8800/rtp/239.37.0.242:5540
东北_动漫秀场_联通,http://116.2.48.244:6000/rtp/232.0.0.128:1234
东北_动画_电信,http://123.179.59.173:8888/udp/239.29.1.38:5001
东北_动画_联通,http://116.116.207.159:5555/udp/239.125.1.45:5000
东北_动画_联通,http://1.26.27.107:9999/udp/239.125.1.45:5000
东北_动画_联通,http://116.95.218.18:9999/udp/239.125.1.45:5000
东北_卡酷少儿_电信,http://36.49.52.39:8800/rtp/239.37.0.060:5540
东北_新动漫_联通,http://116.2.48.244:6000/rtp/232.0.0.65:1234
东北_金鹰卡通_电信,http://123.179.59.173:8888/udp/239.29.1.85:5001
东北_金鹰卡通_联通,http://116.2.48.244:6000/rtp/232.0.0.90:1234
东北_金鹰卡通_联通,http://1.26.27.107:9999/udp/239.125.1.128:4130
东北_金鹰卡通_联通,http://116.95.218.18:9999/udp/239.125.1.128:4130
优漫卡通_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
华东_动漫秀场_联通,http://119.166.7.60:6666/udp/239.253.254.115:8000
华东_动画_电信,http://113.251.228.247:7788/rtp/235.254.198.87:1624
华东_卡酷动画_电信,http://113.138.135.67:8001/rtp/239.112.205.138:5140
华东_卡酷少儿_电信,http://117.66.232.100:2000/rtp/238.1.78.97:6648
华东_嘉佳卡通_电信,http://14.154.193.230:4022/udp/239.77.0.179:5146
华东_嘉佳卡通_电信,http://113.138.135.67:8001/rtp/239.112.205.135:5140
华东_嘉佳卡通_电信,http://14.154.193.230:4022/udp/239.77.0.13:5146
华东_广东少儿_电信,http://14.154.193.230:4022/udp/239.77.0.250:5146
华东_广东少儿_电信,http://14.154.193.230:4022/udp/239.77.0.12:5146
华东_浙江少儿_电信,http://125.126.87.78:9999/rtp/233.50.201.138:5140
华东_浙江少儿_电信,http://218.71.45.167:9999/rtp/233.50.201.138:5140
华东_浙江少儿_电信,http://125.125.40.20:8000/rtp/233.50.201.138:5140
华东_浙江少儿_电信,http://115.205.189.231:8000/rtp/233.50.201.138:5140
华东_浙江少儿_电信,http://122.233.239.30:9999/rtp/233.50.201.138:5140
华东_浙江少儿_电信,http://220.189.92.253:9999/rtp/233.50.201.138:5140
华东_浙江少儿_电信,http://115.230.161.172:9999/rtp/233.50.201.138:5140
华东_金鹰卡通_电信,http://113.251.228.247:7788/rtp/235.254.198.50:1476
华东_金鹰卡通_电信,http://117.66.232.100:2000/rtp/238.1.78.100:6672
华东_金鹰卡通_电信,http://113.138.135.67:8001/rtp/239.112.205.136:5140
华中_IPTV搞笑动画_电信,http://124.230.56.124:55555/udp/239.76.254.207:9000
华中_IPTV搞笑动画_电信,http://175.10.59.126:4022/udp/239.76.254.207:9000
华中_IPTV搞笑动画_电信,http://223.144.160.215:58888/udp/239.76.254.207:9000
华中_IPTV搞笑动画_电信,http://175.9.162.38:9999/udp/239.76.254.207:9000
华中_IPTV搞笑动画_电信,http://175.11.168.57:4022/udp/239.76.254.207:9000
