【  央视_电信  】,#genre#
世界地理_联通,http://116.2.48.244:6000/rtp/232.0.0.63:1234
乐游_联通,http://116.2.48.244:6000/rtp/232.0.0.108:1234
优漫卡通_联通,http://116.2.48.244:6000/rtp/232.0.0.159:1234
党员教育_联通,http://116.2.48.244:6000/rtp/232.0.0.129:1234
兵器科技_联通,http://116.2.48.244:6000/rtp/232.0.0.58:1234
动漫秀场_联通,http://116.2.48.244:6000/rtp/232.0.0.128:1234
劲爆电影_联通,http://116.2.48.244:6000/rtp/232.0.0.155:1234
北京冬奥纪实_联通,http://116.2.48.244:6000/rtp/232.0.0.162:1234
卡酷少儿_联通,http://116.2.48.244:6000/rtp/232.0.0.57:1234
地理_联通,http://116.2.48.244:6000/rtp/232.0.0.197:1234
央广购物_联通,http://116.2.48.244:6000/rtp/232.0.0.240:1234
女性时尚_联通,http://116.2.48.244:6000/rtp/232.0.0.51:1234
安多藏语综合_联通,http://116.2.48.244:6000/rtp/232.0.0.105:1234
家庭理财_联通,http://116.2.48.244:6000/rtp/232.0.0.19:1234
家有购物_联通,http://116.2.48.244:6000/rtp/232.0.0.225:1234
康巴藏语综合_联通,http://116.2.48.244:6000/rtp/232.0.0.109:1234
怀旧剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.38:1234
怀旧电影_联通,http://116.2.48.244:6000/rtp/232.0.0.48:1234
新动漫_联通,http://116.2.48.244:6000/rtp/232.0.0.65:1234
沈阳新闻综合_联通,http://116.2.48.244:6000/rtp/232.0.0.206:1234
法治天地_联通,http://116.2.48.244:6000/rtp/232.0.0.134:1234
游戏竞技_联通,http://116.2.48.244:6000/rtp/232.0.0.112:1234
游戏风云_联通,http://116.2.48.244:6000/rtp/232.0.0.127:1234
炫动卡通_联通,http://116.2.48.244:6000/rtp/232.0.0.103:1234
爱生活_联通,http://116.2.48.244:6000/rtp/232.0.0.148:1234
生活时尚_联通,http://116.2.48.244:6000/rtp/232.0.0.107:1234
电视指南_联通,http://116.2.48.244:6000/rtp/232.0.0.91:1234
盘锦新闻_联通,http://116.2.48.244:6000/rtp/232.0.0.148:1234
移动电视_联通,http://116.2.48.244:6000/rtp/232.0.0.165:1234
第一剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.29:1234
网络棋牌_联通,http://116.2.48.244:6000/rtp/232.0.0.64:1234
证券服务_联通,http://116.2.48.244:6000/rtp/232.0.0.152:1234
谍战剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.203:1234
辽宁体育_联通,http://116.2.48.244:6000/rtp/232.0.0.164:1234
辽宁公共_联通,http://116.2.48.244:6000/rtp/232.0.0.168:1234
辽宁北方_联通,http://116.2.48.244:6000/rtp/232.0.0.151:1234
辽宁宜佳购物_联通,http://116.2.48.244:6000/rtp/232.0.0.30:1234
辽宁影视剧_联通,http://116.2.48.244:6000/rtp/232.0.0.25:1234
辽宁教育青少_联通,http://116.2.48.244:6000/rtp/232.0.0.241:1234
辽宁生活_联通,http://116.2.48.244:6000/rtp/232.0.0.150:1234
辽宁经济_联通,http://116.2.48.244:6000/rtp/232.0.0.156:1234
辽宁都市_联通,http://116.2.48.244:6000/rtp/232.0.0.154:1234
辽河文化生活_联通,http://116.2.48.244:6000/rtp/232.0.0.215:1234
辽河新闻综合_联通,http://116.2.48.244:6000/rtp/232.0.0.214:1234
都市剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.149:1234
金色学堂_联通,http://116.2.48.244:6000/rtp/232.0.0.133:1234
金鹰卡通_联通,http://116.2.48.244:6000/rtp/232.0.0.90:1234
金鹰纪实_联通,http://116.2.48.244:6000/rtp/232.0.0.163:1234
音乐风云_联通,http://116.2.48.244:6000/rtp/232.0.0.47:1234
风云剧场_联通,http://116.2.48.244:6000/rtp/232.0.0.45:1234
风云足球_联通,http://116.2.48.244:6000/rtp/232.0.0.52:1234
【  其他_移动  】,#genre#
移动电视_联通,http://116.2.48.244:6000/rtp/232.0.0.165:1234
